所管,組織,,,,,,,,                             項目,,"平成30年度
成立予算額(千円)",補正要求,,,"改平成30年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,049,,,,,,,国立研究開発法人理化学研究所運営費,,"52,868,857",0,0,0,"52,868,857"
,,042,,,,,,,国立研究開発法人量子科学技術研究開発機構運営費,,"21,610,296",0,0,0,"21,610,296"
,,043,,,,,,,国立研究開発法人量子科学技術研究開発機構施設整備費,,"3,052,215",0,0,0,"3,052,215"
,,051,,,,,,,国立研究開発法人防災科学技術研究所運営費,,"7,205,035",0,0,0,"7,205,035"
,,052,,,,,,,国立研究開発法人防災科学技術研究所施設整備費,,0,"967,664",0,"967,664","967,664"
,,,13,073,1,30,5,16,,国立研究開発法人防災科学技術研究所施設整備費補助金,0,"967,664",0,"967,664","967,664"
,,034,,,,,,,南極地域観測事業費,,"5,064,280",0,0,0,"5,064,280"
,,044,,,,,,,電源開発促進税財源電源立地対策及電源利用対策費エネルギー対策特別会計へ繰入,,"107,755,298",0,0,0,"107,755,298"
,,066,,,,,,,電源立地対策費エネルギー対策特別会計へ繰入,,"411,702",0,0,0,"411,702"
,,036,,,,,,,国立研究開発法人海洋研究開発機構運営費,,"31,260,631",0,0,0,"31,260,631"
,,047,,,,,,,国立研究開発法人宇宙航空研究開発機構運営費,,"113,060,958",0,0,0,"113,060,958"
,,048,,,,,,,国立研究開発法人宇宙航空研究開発機構施設整備費,,"654,550",0,0,0,"654,550"
,,045,,,,,,,国立研究開発法人日本原子力研究開発機構運営費,,"36,991,207",0,0,0,"36,991,207"
,,054,,,,,,,公立文教施設整備費,,"68,561,444","109,844,550",0,"109,844,550","178,405,994"
,,,14,074,1,82,5,16,,公立諸学校建物其他災害復旧費補助金,"9,377","1,290,931",0,"1,290,931","1,300,308"
,,,14,074,1,82,5,16,,公立諸学校建物其他災害復旧費負担金,"358,412","10,082,573",0,"10,082,573","10,440,985"
,,,14,071,1,82,5,16,,ブロック塀・冷房設備対応臨時特例交付金,0,"98,471,046",0,"98,471,046","98,471,046"
,,,14,071,1,82,5,16,,北方領土隣接地域振興等事業補助率差額外2目,"68,193,655",0,0,0,"68,193,655"
,,057,,,,,,,文化振興費,,"878,500",0,0,0,"878,500"
,,058,,,,,,,国際交流・協力推進費,,"30,289,882",0,0,0,"30,289,882"
,,059,,,,,,,独立行政法人日本学生支援機構運営費,,"13,399,960",0,0,0,"13,399,960"
,文化庁,,,,,,,,,,"105,500,027","2,003,195",0,"2,003,195","107,503,222"
,,081,,,,,,,文化庁共通費,,"2,925,513",0,0,0,"2,925,513"
,,094,,,,,,,文化庁施設費,,"520,458",0,0,0,"520,458"
,,082,,,,,,,文化振興費,,"20,628,234",0,0,0,"20,628,234"
,,083,,,,,,,日本芸術院,,"511,242",0,0,0,"511,242"
,,084,,,,,,,独立行政法人国立美術館運営費,,"7,539,267",0,0,0,"7,539,267"
,,085,,,,,,,独立行政法人国立美術館施設整備費,,"1,810,000",0,0,0,"1,810,000"
,,086,,,,,,,独立行政法人日本芸術文化振興会運営費,,"10,089,414",0,0,0,"10,089,414"
,,087,,,,,,,独立行政法人日本芸術文化振興会施設整備費,,"83,239",0,0,0,"83,239"
,,088,,,,,,,文化財保存事業費,,"47,784,945","2,003,195",0,"2,003,195","49,788,140"
,,,95,072,2,71,5,16,,国宝重要文化財等保存・活用事業費補助金,"27,812,347","2,003,195",0,"2,003,195","29,815,542"
,,,95,072,2,12,9,06,,諸謝金外19目,"19,972,598",0,0,0,"19,972,598"
,,089,,,,,,,文化財保存施設整備費,,"688,921",0,0,0,"688,921"
