year,code,amount,name,topname,depname,depcat,cat,ref
2017,bdc.e10.1ee12e.95,0,産業投資支出財政投融資特別会計へ繰入,財務省,財務本省,その他の事項経費,その他の事項経費,産業投資支出財源財政投融資特別会計投資勘定へ繰入0.0%
2017,bdc.e10.4e4bec.98,300000000000,予備費,財務省,財務本省,予備費,予備費,(予備費)100.0%
2017,bdc.e10.71aff7.96,0,熊本地震復旧等予備費,財務省,財務本省,熊本地震復旧等予備費,予備費,(熊本地震復旧等予備費)0.0%
2017,bdc.b24.6b1b78.95,44808389000,財務局共通費,財務省,財務局,その他の事項経費,その他の事項経費,職員基本給43.7% 職員諸手当21.7% 国有資産所在市町村交付金14.5% 庁費7.0% 情報処理業務庁費4.6% 超過勤務手当2.2% 賠償償還及払戻金1.7% 非常勤職員手当1.3% 短時間勤務職員給与1.0% 通信専用料0.7% 児童手当0.6% 職員旅費0.2% 休職者給与0.2% 各所修繕0.2% 公共施設等維持管理運営費0.2% 換地清算金0.0% 諸謝金0.0% 外国為替検査旅費0.0% 委員等旅費0.0% 土地建物借料0.0% 自動車重量税0.0% 交際費0.0%
2017,bdc.b24.a33599.95,133899000,財務局施設費,財務省,財務局,その他の事項経費,その他の事項経費,施設整備費89.2% 施設施工庁費10.6% 施設施工旅費0.2%
2017,bdc.b24.1a62a2.95,13300222000,財務局業務費,財務省,財務局,その他の事項経費,その他の事項経費,国有財産管理処分庁費44.1% 非常勤職員手当14.8% 合同宿舎管理費12.3% 各所修繕11.8% 国有財産評価等手数料4.8% 普通財産維持費3.4% 庁費2.7% 金融機関等検査旅費2.4% 職員旅費1.5% 土地建物借料0.8% 立会検査旅費0.8% 情報処理業務庁費0.2% 移転等補償金0.2% 諸謝金0.1% 委員手当0.0% 捜査費0.0% 委員等旅費0.0%
2017,bdc.42f.91a4af.95,69212675000,税関共通費,財務省,税関,その他の事項経費,その他の事項経費,職員基本給56.5% 職員諸手当28.0% 超過勤務手当8.3% 庁費3.4% 短時間勤務職員給与1.2% 児童手当0.9% 非常勤職員手当0.5% 被服費0.3% 各所修繕0.3% 休職者給与0.2% 土地建物借料0.1% 職員旅費0.1% 国有資産所在市町村交付金0.0% 諸謝金0.0% 電子計算機等借料0.0% 公共施設等維持管理運営費0.0% 情報処理業務庁費0.0% 賠償償還及払戻金0.0% 委員等旅費0.0% 交際費0.0% 自動車重量税0.0% 換地清算金0.0%
2017,bdc.42f.bbecb5.95,51293000,税関施設費,財務省,税関,その他の事項経費,その他の事項経費,施設整備費90.0% 施設施工庁費9.5% 施設施工旅費0.6%
2017,bdc.42f.6c5850.95,30835899000,税関業務費,財務省,税関,その他の事項経費,その他の事項経費,税関業務特別庁費68.9% 通関電子情報処理組織使用料15.8% 土地建物借料7.1% 船舶運航費3.7% 通信専用料2.5% 監視取締旅費0.9% 輸出入調査旅費0.7% 捜査費0.1% 航海日当食卓料0.1% 各所修繕0.0% 公共施設等維持管理運営費0.0% 自動車重量税0.0% 諸謝金0.0% 褒賞品費0.0% 委員等旅費0.0% 委員手当0.0% 参考人旅費0.0%
2017,bdc.42f.02cf3e.95,617992000,船舶建造費,財務省,税関,その他の事項経費,その他の事項経費,船舶建造費98.3% 船舶建造庁費1.3% 船舶建造旅費0.4%
2017,bdc.75c.4eeaaa.95,563806667000,国税庁共通費,財務省,国税庁,その他の事項経費,その他の事項経費,職員基本給46.6% 職員諸手当22.6% 国家公務員共済組合負担金12.7% 退職手当6.9% 超過勤務手当3.6% 基礎年金等国家公務員共済組合負担金2.9% 庁費1.6% 短時間勤務職員給与1.3% 児童手当0.6% 各所修繕0.5% 赴任旅費0.2% 休職者給与0.1% 非常勤職員手当0.1% 公共施設等維持管理運営費0.1% 職員旅費0.1% 公務災害補償費0.0% 諸謝金0.0% 国有資産所在市町村交付金0.0% 賠償償還及払戻金0.0% 国際機関等派遣職員給与0.0% 育児休業手当金国家公務員共済組合負担金0.0% 委員手当0.0% 外国人招へい旅費0.0% 委員等旅費0.0% 交際費0.0% 招へい外国人滞在費0.0% 報償費0.0% 保証金0.0% 自動車重量税0.0% 国有特許発明補償費0.0%
2017,bdc.75c.4427f2.95,2573250000,国税庁施設費,財務省,国税庁,その他の事項経費,その他の事項経費,施設整備費96.6% 施設施工庁費3.4% 施設施工旅費0.0%
2017,bdc.75c.a014b4.95,122849500000,税務業務費,財務省,国税庁,その他の事項経費,その他の事項経費,税務特別庁費64.0% 電子計算機等借料21.8% 成果重視事業国税電子申告・納税システム開発運用費6.1% 税務調査旅費4.4% 校費0.9% 土地建物借料0.9% 職員旅費0.7% 単式蒸留焼酎製造業近代化事業費等補助金0.5% 捜査費0.4% 通信専用料0.1% 諸謝金0.1% 非常勤職員手当0.0% 委員等旅費0.0% 経済協力開発機構拠出金0.0% 褒賞品費0.0% 自動車重量税0.0% 政府開発援助庁費0.0% 政府開発援助職員旅費0.0% 証紙製造費0.0% 政府開発援助諸謝金0.0%
